Underlying,Expiry,Strike,OType,Side,Quantity,Price
BANKNIFTY ,2016-07-21,18800.0,PE,Buy,40,7.75
BANKNIFTY ,2016-07-21,19200.0,CE,Sell,40,5.45
BANKNIFTY ,2016-07-21,19200.0,CE,Sell,40,5.45
NIFTY     ,2016-07-28,8600.0,CE,Sell,75,54.25
NIFTY     ,2016-07-28,8500.0,PE,Buy,75,40.6
NIFTY     ,2016-07-28,8400.0,PE,Buy,75,19.55
NIFTY     ,2016-07-28,8500.0,PE,Buy,75,40.3
NIFTY     ,2016-07-28,8350.0,PE,Buy,75,13.05
BANKNIFTY ,2016-07-21,19400.0,CE,Buy,680,0.25
BANKNIFTY ,2016-07-21,19300.0,CE,Buy,40,0.75
NIFTY     ,2016-07-28,8800.0,CE,Sell,300,6.0
NIFTY     ,2016-07-28,8850.0,CE,Sell,75,3.45
NIFTY     ,2016-07-28,8850.0,CE,Sell,75,3.45
NIFTY     ,2016-07-28,8850.0,CE,Sell,450,3.45
NIFTY     ,2016-07-28,8850.0,CE,Sell,75,3.45
NIFTY     ,2016-07-28,8800.0,CE,Sell,300,6.0
BANKNIFTY ,2016-07-21,19200.0,CE,Buy,80,2.15
BANKNIFTY ,2016-07-28,19800.0,CE,Sell,40,8.3
BANKNIFTY ,2016-07-28,19800.0,CE,Sell,80,8.4
BANKNIFTY ,2016-07-28,19800.0,CE,Sell,160,8.5
NIFTY     ,2016-07-28,8200.0,PE,Buy,75,4.2
NIFTY     ,2016-07-28,8200.0,PE,Buy,75,4.2
NIFTY     ,2016-07-28,8850.0,CE,Sell,75,3.2
NIFTY     ,2016-07-28,8850.0,CE,Sell,75,3.2
NIFTY     ,2016-07-28,8500.0,PE,Sell,75,40.65
NIFTY     ,2016-07-28,8500.0,PE,Sell,75,40.5
NIFTY     ,2016-07-28,8300.0,PE,Buy,150,10.7
NIFTY     ,2016-07-28,8300.0,PE,Buy,75,10.6
NIFTY     ,2016-07-28,8250.0,PE,Buy,75,7.05
NIFTY     ,2016-07-28,8250.0,PE,Buy,75,7.05
NIFTY     ,2016-07-28,8300.0,PE,Buy,75,10.6
NIFTY     ,2016-07-28,8700.0,CE,Sell,150,13.45
NIFTY     ,2016-07-28,8750.0,CE,Sell,150,6.8
NIFTY     ,2016-07-28,8600.0,CE,Sell,75,41.3
NIFTY     ,2016-07-28,8650.0,CE,Sell,75,24.2
NIFTY     ,2016-07-28,8850.0,CE,Buy,525,2.65
NIFTY     ,2016-07-28,8750.0,CE,Sell,300,7.05
NIFTY     ,2016-07-28,8800.0,CE,Sell,75,4.1
NIFTY     ,2016-07-28,8800.0,CE,Sell,75,4.15
NIFTY     ,2016-07-28,8800.0,CE,Sell,75,4.15
NIFTY     ,2016-07-28,8750.0,CE,Buy,75,7.45
NIFTY     ,2016-07-28,8750.0,CE,Buy,75,7.45
NIFTY     ,2016-07-28,8800.0,CE,Sell,75,4.2
NIFTY     ,2016-07-28,8600.0,PE,Sell,75,82.15
NIFTY     ,2016-07-28,8500.0,PE,Buy,75,49.65
NIFTY     ,2016-07-28,8400.0,PE,Buy,150,22.6
NIFTY     ,2016-07-28,8700.0,CE,Sell,150,13.35
NIFTY     ,2016-07-28,7900.0,PE,Sell,525,1.65
NIFTY     ,2016-07-28,8100.0,PE,Buy,525,1.95
BANKNIFTY ,2016-07-28,19800.0,CE,Buy,40,4.3
BANKNIFTY ,2016-07-28,19600.0,CE,Sell,40,8.45
BANKNIFTY ,2016-07-28,19800.0,CE,Buy,40,3.8
NIFTY     ,2016-07-28,8850.0,CE,Buy,75,2.55
NIFTY     ,2016-07-28,8850.0,CE,Buy,75,2.55
NIFTY     ,2016-07-28,8850.0,CE,Buy,75,2.55
NIFTY     ,2016-07-28,8850.0,CE,Buy,75,2.55
NIFTY     ,2016-07-28,8850.0,CE,Buy,600,2.55
NIFTY     ,2016-07-28,8850.0,CE,Buy,150,2.55
NIFTY     ,2016-07-28,8850.0,CE,Buy,150,2.55
NIFTY     ,2016-07-28,8850.0,CE,Buy,75,2.55
NIFTY     ,2016-07-28,8850.0,CE,Buy,75,2.55
NIFTY     ,2016-07-28,8850.0,CE,Buy,75,2.55
BANKNIFTY ,2016-07-28,19800.0,CE,Buy,120,3.8
NIFTY     ,2016-07-28,8850.0,CE,Buy,75,2.55
NIFTY     ,2016-07-28,8850.0,CE,Buy,75,2.55
BANKNIFTY ,2016-07-28,19800.0,CE,Buy,40,3.8
NIFTY     ,2016-07-28,8850.0,CE,Buy,75,2.55
NIFTY     ,2016-07-28,8850.0,CE,Buy,150,2.55
NIFTY     ,2016-07-28,8850.0,CE,Buy,150,2.55
